geocode;x_coor;y_coor;y;ols_residual;mgwr_yhat;mgwr_residual;localR2;beta_Intercept;beta_womanjh;beta_infants;beta_senior;beta_migrants;beta_land_value;beta_home40pp;beta_overcrowd;beta_no_college;se_Intercept;se_womanjh;se_infants;se_senior;se_migrants;se_land_value;se_home40pp;se_overcrowd;se_no_college;t_Intercept;t_womanjh;t_infants;t_senior;t_migrants;t_land_value;t_home40pp;t_overcrowd;t_no_college;p_Intercept;p_womanjh;p_infants;p_senior;p_migrants;p_land_value;p_home40pp;p_overcrowd;p_no_college;sumW_Intercept;sumW_womanjh;sumW_infants;sumW_senior;sumW_migrants;sumW_land_value;sumW_home40pp;sumW_overcrowd;sumW_no_college
13104041001;-70.568;-33.555;0.572082576;0.353095094;0.504679316;0.06740326;0.98224376;0.050503897;-1.581602457;-0.494168544;0.276128916;-0.118225556;-0.01823896;-0.155245329;0.096800291;0.134834454;0.048259568;0.038518938;0.09308073;0.076891489;0.049282173;0.021805492;0.067736459;0.074584019;0.0633026;1.046505353;-41.06038625;-5.309031684;3.591150571;-2.398951759;-0.836438816;-2.291902047;1.297869055;2.129998666;0.295481704;3.25E-254;1.25E-07;0.000338906;0.016552925;0.403029716;0.022037262;0.194514508;0.033319953;63.52946873;17.04985002;27.9335703;43.35247536;23.13237291;1410.918695;159.3070778;22.55376075;1410.918695
13104041002;-70.571;-33.556;0.957525941;0.949496796;0.306390648;0.651135293;0.983500045;0.065625989;-1.583188797;-0.489508861;0.290200384;-0.137958178;-0.018234515;-0.154657065;0.10371981;0.134825453;0.048621596;0.038588862;0.092412666;0.07743994;0.049186577;0.021805431;0.067717192;0.070632795;0.06330278;1.349729225;-41.02709263;-5.296988838;3.747425205;-2.804793218;-0.836237338;-2.283867064;1.468436995;2.129850422;0.177288785;6.38E-254;1.34E-07;0.000184838;0.005094161;0.403142997;0.022506444;0.142176977;0.033332213;63.96830565;15.55927726;28.48474916;43.12304636;24.46617781;1411.877834;162.0650821;23.8964189;1411.877834
13104041003;-70.575;-33.555;1.034251732;0.956878764;0.915325916;0.118925817;0.984885433;0.079673715;-1.582350994;-0.500431566;0.312430005;-0.186207037;-0.018229748;-0.153418156;0.150878587;0.13482398;0.048410031;0.038619405;0.090583074;0.078239615;0.052341371;0.021805462;0.067823716;0.070702498;0.06330307;1.645810045;-40.97295117;-5.524559328;3.993245695;-3.557549832;-0.83601753;-2.262013417;2.133992311;2.129817414;0.099994138;1.91E-253;3.83E-08;6.81E-05;0.000384957;0.403266605;0.023826747;0.032991112;0.033334943;65.33871891;16.43100333;27.24777728;41.58137168;22.19853379;1414.953007;162.2967661;21.37869057;1414.953007
13104041004;-70.582;-33.555;1.999172333;1.886294537;0.563187059;1.435985274;0.98264027;0.105776198;-1.578169123;-0.497429867;0.323393412;-0.283915625;-0.018220263;-0.151887311;0.207487433;0.134813223;0.048328021;0.038582123;0.085298726;0.077552656;0.061717236;0.021805444;0.067925275;0.072586144;0.063303567;2.188713642;-40.90415495;-5.83162129;4.169985019;-4.60026476;-0.835583237;-2.236094166;2.858499154;2.12963074;0.028757999;7.72E-253;6.60E-09;3.21E-05;4.54E-06;0.403510895;0.0254794;0.004310185;0.033350389;68.2022129;15.29047786;24.31005934;40.86817664;19.92775067;1418.568499;162.2821527;19.08658938;1418.568499
13104051001;-70.591;-33.556;1.752589603;1.671747498;0.989451032;0.763138571;0.916452072;0.135595241;-0.849388084;-0.393979432;0.262931372;-0.275671613;-0.018207095;-0.150943699;0.256033289;0.13479419;0.048972792;0.136592689;0.090843427;0.074539541;0.088158771;0.02180539;0.068076389;0.075089738;0.063304234;2.768787203;-6.218400761;-4.336906291;3.527407988;-3.126990202;-0.834981381;-2.217269466;3.409697449;2.129307653;0.005689751;6.36E-10;1.53E-05;0.000431186;0.001797015;0.403849586;0.026741094;0.000666086;0.033377135;69.40481423;14.79859996;24.42471005;44.82144508;19.44507663;1421.680936;156.2242851;18.92601317;1421.680936
13104051002;-70.599;-33.556;0.336639741;0.43862292;-0.030690772;0.367330513;0.525862517;0.154529156;0.156548859;-0.265623171;0.180534052;-0.202778722;-0.018195455;-0.153306396;0.258816664;0.134780993;0.049993268;0.305989605;0.101362079;0.074689803;0.106543412;0.021805407;0.068194295;0.065623901;0.063304889;3.090999301;0.511614958;-2.620537905;2.417117784;-1.90324974;-0.83444694;-2.248082425;3.943939051;2.129077171;0.002028345;0.608989266;0.008860045;0.015752248;0.057182583;0.404150483;0.024703058;8.35E-05;0.033396227;66.58071015;16.63527679;29.99425283;47.63969991;25.97755391;1424.522393;147.8745526;25.4836496;1424.522393
13104051003;-70.604;-33.555;1.063129732;1.539772242;0.060626652;1.00250308;0.454982738;0.159854164;0.164088222;-0.23602389;0.13269167;-0.156981542;-0.018188543;-0.157480515;0.254048887;0.134777461;0.050064104;0.301094934;0.099380867;0.076172672;0.119243876;0.021805482;0.068241602;0.065979883;0.063305339;3.192989639;0.544971713;-2.374942946;1.741985228;-1.316474672;-0.834127047;-2.307690781;3.850399147;2.129006228;0.001434747;0.585846937;0.01766589;0.08169816;0.188198387;0.40433065;0.021140078;0.000122449;0.033402105;65.52371548;20.5437315;32.77505489;46.80788829;26.69824596;1426.857579;142.0533974;26.25435251;1426.857579
13104051004;-70.607;-33.557;0.720030301;0.944296368;0.329913196;0.390117105;0.395406085;0.162463594;0.101371912;-0.21253298;0.093226701;-0.118777092;-0.018182823;-0.161963903;0.272212689;0.1347624;0.05004874;0.311738443;0.099405347;0.077603001;0.115557208;0.021805394;0.06826727;0.067080055;0.063305574;3.246107559;0.325182581;-2.138043737;1.201328548;-1.027863981;-0.833868122;-2.372497124;4.058027195;2.128760407;0.001193504;0.745084293;0.032660359;0.229796924;0.304165109;0.404476515;0.017782873;5.18E-05;0.03342248;65.92985063;20.38133118;31.62216998;45.40583172;28.31011885;1425.744053;137.4795062;27.35910123;1425.744053
13104051005;-70.61;-33.557;0.488548308;0.293463888;0.448180184;0.040368125;0.34891088;0.163371836;0.092455851;-0.204918238;0.070802401;-0.10781435;-0.01817819;-0.166594981;0.266836344;0.134757147;0.049759758;0.314405783;0.096939473;0.077090429;0.119001608;0.021805415;0.068319209;0.066789699;0.063305851;3.283211996;0.294065365;-2.113878186;0.918433086;-0.905990695;-0.833654845;-2.438479342;3.995172148;2.128668109;0.001047873;0.768745101;0.034676014;0.358526981;0.365073619;0.404596688;0.014854511;6.75E-05;0.033430133;66.3904652;19.30966336;30.27642726;45.7422954;27.81702788;1426.352088;132.5601989;26.87670277;1426.352088
13104051006;-70.581;-33.557;-0.517411225;-0.373294193;-0.53412769;0.016716464;0.984752509;0.106824208;-1.58042293;-0.489046831;0.315614792;-0.243588649;-0.018220546;-0.152542879;0.175955143;0.134805452;0.048654501;0.038600671;0.086176986;0.077323936;0.057125795;0.021805348;0.067839446;0.068371948;0.063303459;2.195566814;-40.94288741;-5.674912191;4.081721745;-4.264074515;-0.83559985;-2.248586752;2.573499038;2.129511635;0.028262365;3.52E-253;1.64E-08;4.68E-05;2.12E-05;0.403501549;0.024670853;0.01015459;0.033360246;67.564339;15.65351372;24.71953003;41.26472062;21.76168392;1416.377248;162.9961299;21.66240327;1416.377248
