Comuna_Establecimiento;LATITUD;LONGITUD;Cuenta de NOM_ESTAB;Matriculas
CERRO NAVIA_RENACER;-33.41412997;-70.72487995;18;18
CERRO NAVIA_SAN JORGE;-33.415002;-70.736955;67;67
CERRO NAVIA_SEMBRANDO FUTURO;-33.41791684;-70.74450453;98;98
CERRO NAVIA_TANGANYICA;-33.41703609;-70.74157222;47;47
CERRO NAVIA_TRICAHUE;-33.41792326;-70.73506504;88;88
COLINA_ALICIA MOREL;-33.18984504;-70.66438495;99;99
COLINA_AMANECER;-33.190198;-70.666098;62;62
COLINA_ANDALIEN DE COLINA;-33.20815084;-70.68373231;83;83
COLINA_ANGEL DE LA GUARDA;-33.208256;-70.676136;118;118
COLINA_ANTILAF;-33.198854;-70.664351;48;48
COLINA_ARCA DE NOE;-33.2017366;-70.67208027;45;45
COLINA_ARCO IRIS;-33.18379;-70.66401;91;91
COLINA_CARRUSEL DE LAS AMERICAS;-33.19363702;-70.66997;60;60
COLINA_CASCANUECES;-33.17631911;-70.63803397;20;20
COLINA_CENTRO DE TRATAMIENTO INTEGRAL LOS LAURELES;-33.233402;-70.71022;7;7
COLINA_CERRITOS DE ESMERALDA;-33.18152138;-70.6674891;98;98
COLINA_CLAUDIO ARRAU II;-33.192677;-70.666188;164;164
COLINA_COLEGIO ABERSAN;-33.18134283;-70.65309146;84;84
COLINA_COLEGIO CABO DE HORNOS;-33.1959;-70.67255;153;153
COLINA_COLEGIO DEL VERBO DIVINO DE CHICUREO;-33.287838;-70.67050999;62;62
COLINA_COLEGIO HIGHLANDS;-33.218592;-70.66314;88;88
COLINA_COLEGIO KIMEN MONTESSORI;-33.258093;-70.719977;106;106
COLINA_COLEGIO LINCOLN INTERN ACADEMY VALLE NORTE CHICUREO;-33.19401;-70.65998999;298;298
COLINA_COLEGIO MONTESSORI PUCALAN;-33.241844;-70.70038;99;99
COLINA_COLEGIO POLIVALENTE SEMBRADOR;-33.20448223;-70.67253519;71;71
COLINA_COLEGIO PUMAHUE CHICUREO;-33.219913;-70.74448;325;325
COLINA_COLEGIO RAYEN MAHUIDA;-33.265436;-70.72248;22;22
COLINA_COLEGIO SAN ANDRES DE COLINA;-33.20398456;-70.68042496;200;200
COLINA_COLEGIO SAN ANTONIO DE COLINA;-33.18816001;-70.66070277;259;259
COLINA_COLEGIO SAN JOSE DE CHICUREO;-33.278001;-70.63866;207;207
COLINA_COLEGIO SAN NICOLÁS DIÁCONO;-33.279736;-70.7032;82;82
COLINA_COLEGIO SANTA CRUZ DE CHICUREO;-33.286892;-70.67077;133;133
COLINA_COLEGIO TERRA MONTE;-33.18124799;-70.67111;25;25
COLINA_CULTIVANDO SUEÑOS;-33.190408;-70.669508;46;46
COLINA_DULCE MELODIA;-33.20200158;-70.66600401;92;92
COLINA_ESC. BASICA `SAN BENIGNO`;-33.19562109;-70.67811684;34;34
COLINA_ESC. ESPECIAL ELSA MATILDE ULRICH JARA;-33.207962;-70.67225999;259;259
COLINA_ESC.BASICA FRANCISCO PETRINOVIC KARLOVAC;-33.20373094;-70.67510842;59;59
COLINA_ESC.DE TRAST.PRIM. DE LA COM.CHACABUCO;-33.210346;-70.67406;136;136
COLINA_ESC.PART.ESPECIAL LA CONCEPCION DE COLINA;-33.204285;-70.67813;20;20
COLINA_ESCUELA BAS. REINA NORTE;-33.18332542;-70.67698831;57;57
COLINA_ESCUELA BAS. SAN SEBASTIAN DE COLINA;-33.20407949;-70.67895685;137;137
COLINA_ESCUELA BAS. VALLE VERDE;-33.18106062;-70.67153235;41;41
COLINA_ESCUELA BASICA ALGARROBAL;-33.21132965;-70.68074627;80;80
COLINA_ESCUELA BASICA MARCOS GOOYCOLEA CORTES;-33.20774126;-70.67902583;89;89
COLINA_ESCUELA BASICA N°2416 TREWHELA´S SCHOOL;-33.250515;-70.715028;158;158
COLINA_ESCUELA BASICA PART SANTA MARIA DE ESMERALDA;-33.18045083;-70.66368205;41;41
COLINA_ESCUELA BÁSICA SAN PEDRO;-33.194513;-70.67798999;39;39
COLINA_ESCUELA BASICA SAN VICENTE DE LO ARCAYA;-33.24264965;-70.68549901;68;68
