Comuna_Establecimiento;LATITUD;LONGITUD;Cuenta de NOM_ESTAB;Matriculas
LA CISTERNA_ESCUELA PARTICULAR GUIA ESTUDIANTIL;-33.51833178;-70.65094544;32;32
LA CISTERNA_ESCUELA PARTICULAR SAINT PHILLIP OF NERY;-33.53058251;-70.67452823;35;35
LA CISTERNA_HUELLITAS;-33.54074;-70.667038;102;102
LA CISTERNA_LICEO MADRE CECILIA LAZZERI;-33.53388406;-70.6676353;150;150
LA CISTERNA_LICEO PART. SALESIANO MANUEL ARRIARAN BARROS;-33.53056565;-70.66225953;113;113
LA CISTERNA_LICEO POLIVALENTE OLOF PALME;-33.54562584;-70.65841682;49;49
LA CISTERNA_MI TIERRA MI JARDIN;-33.535566;-70.666255;84;84
LA CISTERNA_NUESTRA SE¥ORA DE LOS PARRALES;-33.524007;-70.63805;65;65
LA CISTERNA_RAICES;-33.533762;-70.652016;91;91
LA CISTERNA_ROSA MARCKMANN DE GONZALEZ;-33.53479157;-70.65645729;73;73
LA CISTERNA_SEMILLAS   DE TIERRA;-33.518957;-70.667265;103;103
LA CISTERNA_SUYAI;-33.5432;-70.674039;48;48
LA FLORIDA_ANTU MAHUIDA;-33.53581309;-70.54540263;142;142
LA FLORIDA_ARCOÖRIS;-33.512998;-70.583797;123;123
LA FLORIDA_AURORA DE CHILE;-33.55153;-70.599271;119;119
LA FLORIDA_BARCO DE COLORES;-33.508986;-70.612137;198;198
LA FLORIDA_BERNADETTE COLLEGE;-33.55037718;-70.5939039;65;65
LA FLORIDA_BICENTENARIO COLLEGE;-33.539696;-70.57919;34;34
LA FLORIDA_CASITA DE JUGUETE;-33.511516;-70.564155;114;114
LA FLORIDA_CATALUÑA;-33.548142;-70.609359;50;50
LA FLORIDA_CENTRO EDUC. ESPECIAL HANS ASPERGER;-33.524403;-70.603745;35;35
LA FLORIDA_CENTRO EDUCACIONAL LA FLORIDA;-33.55364783;-70.58945058;28;28
LA FLORIDA_CENTRO EDUCACIONAL LONDON;-33.55822288;-70.59474021;19;19
LA FLORIDA_CINDERELLA;-33.561098;-70.602472;75;75
LA FLORIDA_COLEGIO ADVENTISTA LA FLORIDA;-33.53647359;-70.57665489;51;51
LA FLORIDA_COLEGIO ALICANTE DE LA FLORIDA;-33.53595055;-70.55599089;216;216
LA FLORIDA_COLEGIO AMANCAY DE LA FLORIDA;-33.5380661;-70.5772881;29;29
LA FLORIDA_COLEGIO ARTISTICO EL SALVADOR ANEXO;-33.56083558;-70.5674955;32;32
LA FLORIDA_COLEGIO ARTISTICO SOL DEL ILLIMANI;-33.5330054;-70.6071715;42;42
LA FLORIDA_COLEGIO ATENAS;-33.52208499;-70.56177783;179;179
LA FLORIDA_COLEGIO BOSTON COLLEGE ALTO MACUL;-33.51288199;-70.53438;79;79
LA FLORIDA_COLEGIO CAPITAN PASTENE;-33.55412277;-70.60462292;43;43
LA FLORIDA_COLEGIO CRISOL;-33.56502153;-70.58261383;9;9
LA FLORIDA_COLEGIO CRISTIANO BETHEL N 3;-33.52070645;-70.60869082;23;23
LA FLORIDA_COLEGIO CRISTIANO EMMANUEL;-33.51234494;-70.56430502;38;38
LA FLORIDA_COLEGIO DIVINA PASTORA;-33.54568692;-70.58866088;45;45
LA FLORIDA_COLEGIO EMMANUEL HIGH SCHOOL;-33.52677545;-70.58333077;33;33
LA FLORIDA_COLEGIO FLORIDA HIGH SCHOOL;-33.53096665;-70.58467398;15;15
LA FLORIDA_COLEGIO HAYDN DE LA FLORIDA;-33.51672263;-70.58483208;28;28
LA FLORIDA_COLEGIO LE MONDE;-33.55032832;-70.58896548;34;34
LA FLORIDA_COLEGIO LIAHONA CORDILLERA;-33.5436023;-70.5865;76;76
LA FLORIDA_COLEGIO MARIA ELENA;-33.56265722;-70.6037402;66;66
LA FLORIDA_COLEGIO NAZARET DE LA FLORIDA;-33.5611563;-70.5690341;146;146
LA FLORIDA_COLEGIO NOBEL;-33.55579211;-70.58792609;23;23
LA FLORIDA_COLEGIO NOVA;-33.54997;-70.58439;61;61
LA FLORIDA_COLEGIO NOVA TERRA;-33.56178941;-70.57382892;17;17
LA FLORIDA_COLEGIO PART. ALCANTARA DE LA CORDILLERA;-33.52247491;-70.58597197;122;122
LA FLORIDA_COLEGIO PART. ALCANTARA DE LA FLORIDA;-33.51026253;-70.61004062;32;32
LA FLORIDA_COLEGIO PART. FAMILIA DE NAZARETH;-33.54705432;-70.60114276;66;66
LA FLORIDA_COLEGIO PART. MANANTIAL DE LA FLORIDA;-33.52106046;-70.5592029;98;98
LA FLORIDA_COLEGIO PART. PATRONA SENORA DE LOURDES;-33.52039535;-70.56913183;110;110
LA FLORIDA_COLEGIO PARTICULAR ANTILHUE;-33.52449974;-70.58378491;103;103
LA FLORIDA_COLEGIO PARTICULAR ISLA WELLINGTON;-33.54664744;-70.60699074;24;24
LA FLORIDA_COLEGIO PARTICULAR LA CONCEPCION;-33.52673992;-70.58316775;97;97
LA FLORIDA_COLEGIO PARTICULAR NUEVA ERA SIGLO XXI;-33.54940204;-70.56727545;47;47
LA FLORIDA_COLEGIO PARTICULAR SAN FRANCISCO DE ASIS;-33.55799068;-70.59232968;198;198
LA FLORIDA_COLEGIO POLIV. SAN SEBASTIAN DE LA FLORIDA;-33.55891358;-70.57867515;39;39
LA FLORIDA_COLEGIO POLIVALENTE LOVAINA;-33.56457979;-70.57971505;14;14
LA FLORIDA_COLEGIO PORTALES;-33.5619201;-70.57469436;53;53
LA FLORIDA_COLEGIO QUINTO CENTENARIO CORDILLERA;-33.53595991;-70.55513762;39;39
LA FLORIDA_COLEGIO SAINT CHARLES COLLEGE LA FLORIDA;-33.53514405;-70.59832597;73;73
LA FLORIDA_COLEGIO SAINT JOSEPH C. THOMAS SCHOOL;-33.54354737;-70.57084345;23;23
LA FLORIDA_COLEGIO SAN CARLOS DE LA FLORIDA;-33.54794016;-70.61168627;32;32
LA FLORIDA_COLEGIO SAN CRISTOBAL DE LAS CASAS;-33.56054625;-70.5675868;59;59
LA FLORIDA_COLEGIO SAN DAMIAN;-33.53930299;-70.59655148;60;60
LA FLORIDA_COLEGIO SANTA CECILIA DE LA FLORIDA;-33.514006;-70.60971;13;13
LA FLORIDA_COLEGIO SANTA MARIA;-33.54199024;-70.59236863;251;251
LA FLORIDA_COLEGIO SANTA MARIA DE LO CANAS;-33.527627;-70.5523;31;31
LA FLORIDA_COLEGIO SANTA PATRICIA DE LA FLORIDA;-33.56744088;-70.59624749;42;42
LA FLORIDA_COLEGIO SANTIAGO;-33.55042118;-70.59782185;69;69
LA FLORIDA_DESPERTAR;-33.51363552;-70.60083753;202;202
LA FLORIDA_DOCTORA ELOISA DÖAZ INSUNZA;-33.513895;-70.600243;40;40
LA FLORIDA_EL CALVARITO;-33.548367;-70.576785;64;64
LA FLORIDA_EL NARANJITO;-33.56939698;-70.60937595;44;44
LA FLORIDA_EL PARQUE;-33.53991359;-70.59992144;51;51
LA FLORIDA_ELUNEY;-33.54564653;-70.60571411;74;74
LA FLORIDA_ESC BAS PART COLEGIO CHILLAN;-33.56286983;-70.58466074;30;30
LA FLORIDA_ESC BASICA PARTICULAR SAN VALENTIN;-33.51073173;-70.57982294;46;46
LA FLORIDA_ESC ESP SAN GABRIEL DE LA FLORIDA;-33.552532;-70.573944;94;94
LA FLORIDA_ESC. BAS. PART. ALBERT SCHWITZER LA FLORIDA;-33.56373913;-70.57607077;6;6
LA FLORIDA_ESC. ESP. EL PRINCIPITO DE LA FLORIDA;-33.53446;-70.58815;274;274
LA FLORIDA_ESC. ESP. PART. KADES BARNEA;-33.55702;-70.57933;56;56
LA FLORIDA_ESC. ESP. PART. PALU;-33.55196999;-70.60366999;101;101
LA FLORIDA_ESC. ESP. PARTICULAR MI CASITA;-33.521732;-70.60923;52;52
LA FLORIDA_ESC. ESPECIAL PART. MARTA Y BERTA;-33.538975;-70.60164;62;62
LA FLORIDA_ESC. ESPECIAL SEMILLITA DE LA FLORIDA;-33.527214;-70.57013999;52;52
LA FLORIDA_ESC. PART. RAFAEL SOTOMAYOR B.;-33.51666153;-70.58063616;60;60
LA FLORIDA_ESC. PART. SAINT GERMAINE SCHOOL;-33.52955448;-70.59613179;42;42
LA FLORIDA_ESC.PARV.N° 2465 ARTISTICO NUEVO SOL;-33.56221;-70.56957;58;58
LA FLORIDA_ESC.TRASTORNOS DE LA EDUCACION AURORA;-33.516937;-70.584785;79;79
LA FLORIDA_ESCUELA BAS. LICARITO;-33.54721413;-70.59468651;46;46
LA FLORIDA_ESCUELA BAS. PEÑIHUEN ANDINO;-33.51806659;-70.56230841;41;41
LA FLORIDA_ESCUELA BASICA LOS NAVIOS;-33.56919422;-70.60925629;38;38
LA FLORIDA_ESCUELA BÁSICA N°993 ANTONIO BORQUEZ SOLAR;-33.51429162;-70.56972883;13;13
LA FLORIDA_ESCUELA BASICA Nº1817 ANIDA;-33.518075;-70.56623;9;9
LA FLORIDA_ESCUELA BASICA PART.BROTHERS SCHOOL;-33.53925404;-70.59534384;38;38
LA FLORIDA_ESCUELA BASICA PARTICULAR CONTEMPORA;-33.53789493;-70.55470427;30;30
LA FLORIDA_ESCUELA BASICA PARTICULAR PAICAVI NUM 1;-33.55323038;-70.60185181;73;73
LA FLORIDA_ESCUELA BASICA RAICES ALTAZOR;-33.53227153;-70.55365239;38;38
LA FLORIDA_ESCUELA BELEN O¦HIGGINS;-33.53789948;-70.60556991;49;49
LA FLORIDA_ESCUELA BELLAVISTA;-33.51942892;-70.60120449;125;125
LA FLORIDA_ESCUELA DE LENGUAJE GUSANITO;-33.53907;-70.563511;49;49
LA FLORIDA_ESCUELA DE PARV. ARMONIA;-33.54611599;-70.59479;7;7
LA FLORIDA_ESCUELA DE PARV. BLANCA NIEVES DE LA FLORIDA;-33.556995;-70.56636;61;61
LA FLORIDA_ESCUELA DE PARV. CIUDAD BEBE;-33.566586;-70.588646;20;20
LA FLORIDA_ESCUELA DE PARV. LA CASITA ENCANTADA;-33.54956;-70.601974;33;33
LA FLORIDA_ESCUELA DE PARV. PART. HAPPY GARDEN;-33.537193;-70.59308;25;25
LA FLORIDA_ESCUELA DE PARV. TIO RICO;-33.55445499;-70.56820999;63;63
LA FLORIDA_ESCUELA DE PARVULOS GUSANITO Nº2;-33.539254;-70.557801;18;18
LA FLORIDA_ESCUELA DE PARVULOS N°1372 LOS COPIHUITOS;-33.56277;-70.57883;7;7
LA FLORIDA_ESCUELA DE PARVULOS N°2475 AMERICAN BRITISH FIRST;-33.52241;-70.57211;264;264
LA FLORIDA_ESCUELA DE PARVULOS SAMORITO;-33.51554;-70.58824199;121;121
LA FLORIDA_ESCUELA DE PARVULOS TERESITA;-33.54180499;-70.59556;30;30
LA FLORIDA_ESCUELA DE PARVULOS Y ESPECIAL EUSEBIO LILLO;-33.561483;-70.564527;106;106
LA FLORIDA_ESCUELA ELSA SANTIBANEZ;-33.53299178;-70.575091;48;48
LA FLORIDA_ESCUELA ESP. CAMILA BINFA;-33.553326;-70.57747999;50;50
LA FLORIDA_ESCUELA ESP. DIVERSIDAD;-33.52126299;-70.564995;7;7
LA FLORIDA_ESCUELA ESP. PABLO NERUDA DE LA FLORIDA;-33.53416;-70.58548999;178;178
LA FLORIDA_ESCUELA ESP. PART. ARRAYAN;-33.54679;-70.59286;122;122
LA FLORIDA_ESCUELA ESP. PART. LA PASCANA;-33.558006;-70.59159;86;86
LA FLORIDA_ESCUELA ESP. PART. RAIHUEN;-33.52358199;-70.57002;60;60
LA FLORIDA_ESCUELA ESP. SAN MARTIN;-33.551052;-70.595825;125;125
LA FLORIDA_ESCUELA ESP. TERESIANA DEL ESFUERZO;-33.56095;-70.599075;69;69
LA FLORIDA_ESCUELA ESPECIAL BASILEA;-33.56268699;-70.58826999;78;78
LA FLORIDA_ESCUELA ESPECIAL DE LENGUAJE LOS CLARINES;-33.543266;-70.607276;110;110
LA FLORIDA_ESCUELA ESPECIAL EL AGUILA Y EL ROBLE;-33.535645;-70.590675;92;92
LA FLORIDA_ESCUELA ESPECIAL EL ARCA DE LOS NIÑOS;-33.56284699;-70.57834;108;108
LA FLORIDA_ESCUELA ESPECIAL GABRIELA MISTRAL;-33.56016499;-70.56524;41;41
LA FLORIDA_ESCUELA ESPECIAL INST.VICUNA MACKENNA;-33.553593;-70.57353999;8;8
LA FLORIDA_ESCUELA ESPECIAL LAS PEPAS;-33.51544;-70.54834;112;112
LA FLORIDA_ESCUELA ESPECIAL LICANCURA;-33.554485;-70.59329;115;115
LA FLORIDA_ESCUELA ESPECIAL MANDARINA;-33.565376;-70.600538;88;88
LA FLORIDA_ESCUELA ESPECIAL N° 2447 `ESTRELLITAS DE SAN JOSÉ`;-33.5521;-70.59435;36;36
LA FLORIDA_ESCUELA ESPECIAL N° 2472 GIRASOL;-33.54791999;-70.61360999;79;79
LA FLORIDA_ESCUELA ESPECIAL N°1327 ANAKENA;-33.53334577;-70.59900388;85;85
LA FLORIDA_ESCUELA ESPECIAL N°2422 AYEKAN;-33.5429;-70.55409;77;77
LA FLORIDA_ESCUELA ESPECIAL PART. MELODIA DE LA FLORIDA;-33.537815;-70.575485;65;65
LA FLORIDA_ESCUELA ESPECIAL PARTICULAR VARESCA;-33.510475;-70.578705;24;24
LA FLORIDA_ESCUELA ESPECIAL PASO A PASO;-33.5572;-70.586296;88;88
LA FLORIDA_ESCUELA ESPECIAL TRIPANTU DE LA FLORIDA;-33.5338;-70.57491;93;93
LA FLORIDA_ESCUELA GUARDIAMARINA ERNESTO RIQUELME;-33.54906839;-70.58145639;44;44
LA FLORIDA_ESCUELA HOSPITALARIA DOCTORA ELOISA DIAZ INSUNZA;-33.51413999;-70.59976;4;4
LA FLORIDA_ESCUELA LAS ARAUCARIAS;-33.51068564;-70.58628084;42;42
LA FLORIDA_ESCUELA LAS LILAS;-33.561798;-70.57417485;49;49
LA FLORIDA_ESCUELA LO CANAS;-33.52520142;-70.5532023;50;50
LA FLORIDA_ESCUELA LOS CEREZOS;-33.512649;-70.5537213;30;30
LA FLORIDA_ESCUELA MARCELA PAZ;-33.53220132;-70.57737183;50;50
LA FLORIDA_ESCUELA OSCAR CASTRO;-33.56023188;-70.59603428;17;17
LA FLORIDA_ESCUELA PART. INSTITUTO S.A;-33.56201232;-70.61008219;59;59
LA FLORIDA_ESCUELA PART. JOHN PAUL SCHOOL;-33.54506232;-70.59634045;23;23
LA FLORIDA_ESCUELA PARTICULAR DANES;-33.53750414;-70.58681416;20;20
LA FLORIDA_ESCUELA PARTICULAR ESPECIAL NUEVO RUMBO;-33.53557;-70.597916;25;25
LA FLORIDA_ESCUELA PARTICULAR LOS CASTANOS;-33.51302414;-70.57831213;9;9
LA FLORIDA_ESCUELA PARTICULAR LOS COPIHUES;-33.5631798;-70.57868989;8;8
LA FLORIDA_ESCUELA PARTICULAR MSR.DIEGO ROSALES;-33.55813851;-70.59572328;42;42
LA FLORIDA_ESCUELA PARTICULAR PAPA JUAN PABLO II;-33.53091931;-70.59887756;46;46
LA FLORIDA_ESCUELA PARTICULAR PHILIPPE COUSTEAU;-33.55338458;-70.5913434;25;25
LA FLORIDA_ESCUELA PARTICULAR QUILLAHUE;-33.54746643;-70.57987103;63;63
LA FLORIDA_ESCUELA PARTICULAR ROSARIO CONCHA;-33.5186711;-70.58521967;54;54
LA FLORIDA_ESCUELA PARTICULAR UNIDAD DIVINA;-33.53724638;-70.60094931;67;67
LA FLORIDA_ESCUELA RAIMAPU-TIERRA FLORIDA;-33.53200866;-70.58222615;90;90
LA FLORIDA_ESCUELA SANTA IRENE;-33.52022937;-70.56648504;47;47
LA FLORIDA_ESCUELA SOTERO DEL RIO;-33.53852784;-70.60538748;47;47
LA FLORIDA_ESCUELA Y COLEGIO POLITECNICO LOS HEROES;-33.51296404;-70.57632744;23;23
LA FLORIDA_ESTRELLA DE BELEN;-33.53586478;-70.56020107;119;119
LA FLORIDA_GIRASOL;-33.56370344;-70.58348814;79;79
LA FLORIDA_INSTITUTO LA SALLE;-33.54447334;-70.56921764;48;48
LA FLORIDA_JAVIERA CARRERA;-33.51446998;-70.56691;148;148
LA FLORIDA_LA PARINA;-33.540393;-70.554896;48;48
LA FLORIDA_LICEO ALTO CORDILLERA DE LA FLORIDA;-33.554806;-70.57688;46;46
LA FLORIDA_LICEO ANDRES BELLO;-33.56346981;-70.59278754;8;8
LA FLORIDA_LICEO INDIRA GANDHI;-33.55309396;-70.58972826;41;41
LA FLORIDA_LICEO NUEVO AMANECER;-33.51333147;-70.56713764;40;40
LA FLORIDA_LICEO PARTIC.ALBERTO MAGNO LA FLORIDA;-33.55569419;-70.60955746;129;129
LA FLORIDA_LICEO POLIVALENTE LOS ALMENDROS;-33.54118256;-70.59842123;32;32
LA FLORIDA_LINCOLN COLLEGE LA FLORIDA;-33.54393816;-70.56948472;92;92
LA FLORIDA_LOS ALMENDROS;-33.54170121;-70.59850074;47;47
LA FLORIDA_LOS CASTORCITOS;-33.51742794;-70.58132479;226;226
LA FLORIDA_LOS COPIHUES;-33.51777132;-70.58162498;103;103
LA FLORIDA_LOS NAVÖOS;-33.569431;-70.610628;129;129
LA FLORIDA_LOS OSITOS;-33.53880887;-70.60555482;135;135
LA FLORIDA_LOS PEUMOS;-33.54109496;-70.59920902;207;207
LA FLORIDA_LUIS ZUÑIGA;-33.51701003;-70.55288001;73;73
LA FLORIDA_MIGUITAS DE TERNURA;-33.55905898;-70.60593402;47;47
LA FLORIDA_NUEVO AMANECER;-33.51536084;-70.57015846;205;205
LA FLORIDA_OSITO PANDA;-33.530717;-70.5994;188;188
LA FLORIDA_PEPELUCHE;-33.53048525;-70.60767186;84;84
LA FLORIDA_PIERRE TEILHARD DE CHARDIN;-33.53114231;-70.58462574;14;14
LA FLORIDA_PUERTO EDÉN;-33.549869;-70.611567;86;86
LA FLORIDA_S.C. PORTALES II;-33.559904;-70.561974;21;21
LA FLORIDA_SAN ESTEBAN;-33.55795199;-70.60218401;79;79
LA FLORIDA_SAN JOSÉ;-33.55442;-70.60667;142;142
LA FLORIDA_SANTA MARIA DEL PILAR DE LA FLORIDA;-33.56606348;-70.58835094;9;9
LA FLORIDA_SANTA TERESA DE LA FLORIDA;-33.516577;-70.551876;46;46
LA FLORIDA_STA JULIA;-33.530971;-70.608222;82;82
LA FLORIDA_URUGUAY;-33.535298;-70.583631;43;43
LA FLORIDA_VILLA O'HIGGINS;-33.52741623;-70.60544409;117;#N/D
LA GRANJA_ARCO IRIS;-33.549302;-70.61911703;88;88
LA GRANJA_BAMBI;-33.536541;-70.617718;61;61
LA GRANJA_COLEGIO ALMA MATER;-33.55679441;-70.61990951;108;108
LA GRANJA_COLEGIO CHRISTIAN GARDEN SCHOOL;-33.55512284;-70.62818119;160;160
LA GRANJA_COLEGIO LOS PENSAMIENTOS;-33.55711999;-70.61982;116;116
LA GRANJA_COLEGIO MUNICIPAL PROCERES DE CHILE;-33.52665484;-70.61396037;46;46
LA GRANJA_COLEGIO POLIVALENTE PADRE ESTEBAN GUMUCIO VIVES;-33.52010851;-70.62930208;22;22
LA GRANJA_COLEGIO SAN GREGORIO DE LA SALLE;-33.53655435;-70.62082979;107;107
LA GRANJA_CUNCUNITAS;-33.53164;-70.61299404;85;85
LA GRANJA_ESC ESP PARV ELEFANTE MELODIA, LA GRANJA;-33.51646881;-70.6236301;116;116
LA GRANJA_ESC. DE PARV. LOS DUENDECITOS DE LA GRANJA;-33.54155;-70.63245;61;61
LA GRANJA_ESC. ESPEC. CAMPANITA DE LA GRANJA;-33.55529;-70.62369;155;155
LA GRANJA_ESCUELA BAS. BENJAMIN SUBERCASEAUX;-33.55376809;-70.62884172;58;58
LA GRANJA_ESCUELA BAS. LA ARAUCANIA;-33.53470899;-70.61661187;46;46
LA GRANJA_ESCUELA BAS. LOS HEROES DE YUNGAY;-33.52182186;-70.61841711;4;4
LA GRANJA_ESCUELA BAS. POETA OSCAR CASTRO ZUNIGA;-33.53003089;-70.62330093;64;64
LA GRANJA_ESCUELA BAS. SANITAS;-33.52184801;-70.62810274;13;13
LA GRANJA_ESCUELA BAS. TECNO SUR;-33.53713471;-70.63166242;35;35
LA GRANJA_ESCUELA BASICA ISLAS DE CHILE;-33.54569449;-70.61426924;50;50
LA GRANJA_ESCUELA BASICA PART GRATUITA CASA AZUL;-33.52393151;-70.62024824;18;18
LA GRANJA_ESCUELA BASICA PARTIC ESTRELLA DE CHILE;-33.53000508;-70.6314954;33;33
LA GRANJA_ESCUELA BASICA PRESBITERIANA EL SALVADOR;-33.53738516;-70.6209593;43;43
LA GRANJA_ESCUELA BELGICA;-33.53469004;-70.62503439;44;44
LA GRANJA_ESCUELA DE LENGUAJE AMERICA;-33.55961;-70.63061;101;101
LA GRANJA_ESCUELA DE LENGUAJE LA GRANJITA;-33.530375;-70.615662;133;133
LA GRANJA_ESCUELA DE PARVULOS LOS DUENDECITOS II;-33.554752;-70.61812;59;59
LA GRANJA_ESCUELA DE PÁRVULOS PARTICULAR Nº 1930 MIS AMIGUITOS;-33.555756;-70.623276;72;72
LA GRANJA_ESCUELA DIFERENCIAL SANTA TERESITA DE LOS AND;-33.52038;-70.62936999;42;42
LA GRANJA_ESCUELA ESP. NUEVO MUNDO DE LA GRANJA;-33.518036;-70.62308;145;145
LA GRANJA_ESCUELA ESPECIAL DE LENGUJE MIS AMIGUITOS;-33.55709499;-70.62362;164;164
LA GRANJA_ESCUELA ESPECIAL GRIBEL DE LA GRANJA;-33.521746;-70.628137;108;108
LA GRANJA_ESCUELA ESPECIAL GUENIPILLAN;-33.53915;-70.63033;50;50
LA GRANJA_ESCUELA ESPECIAL LA GRANJA;-33.532368;-70.63063;43;43
LA GRANJA_ESCUELA ESPECIAL MI CLUB RYMAI;-33.553455;-70.63026;117;117
LA GRANJA_ESCUELA ESPECIAL N° 2258 NIÑO JESUS DE LA GR;-33.55057999;-70.63153;34;34
LA GRANJA_ESCUELA ESPECIAL N° 2410 GRANJERITOS;-33.537506;-70.61626;82;82
LA GRANJA_ESCUELA ESPECIAL N° 2456 `TU ARCOIRIS`;-33.54059999;-70.61537;106;106
LA GRANJA_ESCUELA ESPECIAL PARTICULAR LUNA NUEVA;-33.53051399;-70.61026;97;97
LA GRANJA_ESCUELA PART. AMANECER DE LA GRANJA;-33.54389599;-70.627556;114;114
LA GRANJA_ESCUELA PARTICULAR CLAUDIO MATTE;-33.52094644;-70.63317829;149;149
LA GRANJA_ESCUELA PARTICULAR SAN MARCELO;-33.55179342;-70.63212206;138;138
LA GRANJA_ESCUELA PARTICULAR TTE.DAGOBERTO GODOY;-33.54075006;-70.63299931;145;145
LA GRANJA_FRANCISCO FRIAS VALENZUELA;-33.52379115;-70.6360107;43;43
LA GRANJA_HUNNEUS;-33.554604;-70.630542;107;107
LA GRANJA_JESÉS DE NAZARET;-33.538247;-70.612634;27;27
LA GRANJA_LICEO BICENTENARIO NUESTRA SEÑORA DE GUADALUPE;-33.55564982;-70.61818898;39;39
LA GRANJA_LICEO DOCTOR ALEJANDRO DEL RIO;-33.5169844;-70.62132416;35;35
LA GRANJA_LICEO MALAQUIAS CONCHA;-33.52826022;-70.62156758;67;67
LA GRANJA_LICEO MUNICIPAL LA GRANJA POETA NERUDA;-33.55112574;-70.62864054;62;62
LA GRANJA_LICEO POLIVALENTE BAHIA DARWIN;-33.54421894;-70.6263668;21;21
LA GRANJA_LOS MAGNOLIOS;-33.515363;-70.616593;21;21
LA GRANJA_LOS QUECHITOS;-33.53466079;-70.62379303;79;79
LA GRANJA_MAITIL;-33.532398;-70.62581;85;85
LA GRANJA_MI CAPULLITO;-33.546153;-70.614999;172;172
LA GRANJA_MI PEQUENO POEMA;-33.55154371;-70.62689792;102;102
LA GRANJA_MONSE¥OR OSCAR ROMERO;-33.535434;-70.627712;68;68
LA GRANJA_PADRE HURTADO;-33.54646063;-70.62834476;57;57
LA GRANJA_POLIWEN MONTESSORI;-33.535308;-70.62313;57;57
LA GRANJA_S.C. CORONEL;-33.531307;-70.616509;19;19
LA GRANJA_SAINT CHRISTIAN COLLEGE;-33.55377423;-70.62428201;154;154
LA GRANJA_SAN FRANCISCO DE ASIS;-33.52883034;-70.62202023;147;147
LA GRANJA_SAN GREGORIO;-33.533825;-70.6149;85;85
LA GRANJA_SANTIAGO BUERAS;-33.515203;-70.619711;3;3
LA GRANJA_SEMILLA;-33.526303;-70.613334;11;11
LA GRANJA_SEMILLITAS DEL FUTURO;-33.53403676;-70.61402142;26;26
LA GRANJA_SOFÖA EASTMAN;-33.556857;-70.627749;181;181
LA GRANJA_TOM;-33.531522;-70.616641;27;27
LA GRANJA_VERDE BOSQUE;-33.52234003;-70.61849758;61;61
LA GRANJA_VIOLETA PARRA;-33.551628;-70.628701;84;84
LA GRANJA_VIRGEN DEL ROSARIO;-33.544332;-70.612101;21;21
LA GRANJA_YUNGAY;-33.519363;-70.61883;64;64
LA PINTANA_AGUAS CLARAS;-33.56280947;-70.64370293;89;89
LA PINTANA_ANEXO ESCUELA BASICA SAN JAVIER;-33.61517778;-70.63084459;36;36
LA PINTANA_ANTU- LIWEN;-33.578619;-70.64085;111;111
LA PINTANA_ARCA DE NO;-33.590073;-70.612693;44;44
LA PINTANA_ATIPIRI;-33.58494889;-70.65398986;85;85
LA PINTANA_BUEN PASTOR;-33.59064;-70.61945;182;182
LA PINTANA_CAVIAHUE;-33.56149902;-70.61631161;16;16
LA PINTANA_CENTRO EDUCACIONAL SANTA ROSA DEL SUR;-33.58464193;-70.62843515;59;59
LA PINTANA_CENTRO NUTRICIONAL;-33.594072;-70.618229;64;64
LA PINTANA_CHILEAN EAGLES COLLEGE-LA PINTANA;-33.55610536;-70.64781911;183;183
LA PINTANA_COLEGIO ALTO GABRIELA;-33.58359326;-70.61635065;54;54
LA PINTANA_COLEGIO BICENTENARIO APRENDER;-33.5570849;-70.61783663;95;95
LA PINTANA_COLEGIO JORGE HUNEEUS ZEGERS;-33.56434917;-70.63014486;292;292
LA PINTANA_COLEGIO KING SCHOOL CORDILLERA;-33.62186771;-70.62803369;143;143
LA PINTANA_COLEGIO MARISTA MARCELINO CHAMPAGNAT;-33.58847226;-70.61640242;249;249
LA PINTANA_COLEGIO MIGUEL ANGEL;-33.58766371;-70.62578481;32;32
LA PINTANA_COLEGIO NERUDA;-33.58015446;-70.657241;49;49
LA PINTANA_COLEGIO PARTICULAR PUERTO NAVARINO;-33.57873929;-70.65728989;13;13
LA PINTANA_COLEGIO POLIV. ALMENDRAL DE LA PINTANA;-33.5958222;-70.62030254;140;140
LA PINTANA_COLEGIO POLIV. CARDENAL JOSE MARIA CARO;-33.56444442;-70.62513826;185;185
LA PINTANA_COLEGIO POLIV. NUEVA NAZARET;-33.58343715;-70.61534247;30;30
LA PINTANA_COLEGIO POLIVALENTE INGLES;-33.61292102;-70.63783316;30;30
LA PINTANA_COLEGIO SANTA SOFIA;-33.583668;-70.61418;57;57
LA PINTANA_COLEGIO SANTO TOMAS;-33.55929282;-70.62792249;13;13
LA PINTANA_COLEGIO SIMON BOLIVAR;-33.59529215;-70.6255541;31;31
LA PINTANA_COLEGIO TECNICO PROFESIONAL NOCEDAL;-33.59528521;-70.61507686;129;129
LA PINTANA_COMPLEJO EDUC.STA.RITA DE CASIA-ANEXO 1;-33.59107698;-70.61990243;20;20
LA PINTANA_CTRO.EDUC.CATOLICO DIDASCALIO STA. MARIA;-33.59745357;-70.62707899;42;42
LA PINTANA_EL ROBLE;-33.56428628;-70.64863667;211;211
LA PINTANA_ESC BASICA PART SAN JOSE DE LA FAMILIA;-33.56188439;-70.63087038;199;199
LA PINTANA_ESC. BASICA PART.IBEROAMERICANO;-33.58304726;-70.62742742;120;120
