"","Comuna","subsidiada","decil","escolaridad","ingreso","mater_aceptable","sanea_aceptable","calidad_aceptable","sin_allega_int","sin_allega_ext","sin_hacina"
"105","Constitución",-0.112639850797633,-0.25,0.0629345545223812,0.253891569311195,0.273855088902944,0.127973510255274,0.227917588198774,-0.197182205965074,-0.00883462718939261,0.0499610515780585
"106","Curepto",1.98648325597147,-0.666666666666667,0.0843284623515018,-0.0846128476135126,3.28400837785157,0.201637770987689,0.448531132032313,0.0242353042308979,0.0364931506849315,0.0147868840557877
"107","Empedrado",0.53491224930689,-0.666666666666667,0.0481571995202473,0.384355669138474,1.47916645376127,0.599337909634587,1.35761045153378,0.00192541513480726,0.0451268357810413,0.14286547834341
"108","Maule",0.291430257558331,-0.2,0.0553101935868219,0.282914516600526,0.195704107594817,0.05614505254176,0.23547988906523,0.12358073774385,0.0337597190870329,-0.0635180276159817
"109","Pelarco",0.438344027075212,0.666666666666667,0.0545097957271753,0.107921091073452,0.491130710510005,0.0543519172543401,0.239392273995175,0.0969213494779732,0.00714174590308759,-0.101374233266425
"110","Pencahue",-0.450644955127686,-0.428571428571429,-0.121234946135297,-0.0718602279396871,0.536732273806626,-0.213121627361036,-0.122389522818359,-0.0190036173733315,0.0239034301422255,0.145465216764434
"111","Río Claro",0.169628214274841,-0.5,0.00663836041947326,-0.0240983159026132,0.959526302460899,0.0106786614283717,0.436813648444338,0.237704933424217,0.0496435698789652,0.100821067875574
"112","San Clemente",-0.0113205420095629,-0.25,0.0030243181562989,-0.0742824818649805,0.325754268466203,0.0712700956442425,0.234810397076187,-0.0124614821957521,0.0639058461200021,0.0223283105633429
"113","San Rafael",0.138180054535951,-0.666666666666667,0.181970698855262,0.474353898947432,1.52844571613762,0.185723933428937,1.21702428403731,0.0774295311367355,0.0231270759010948,0.19834899714387
"114","Cauquenes",0.0513388640229588,0,0.0959038193328828,0.0976143937826463,0.539028433896368,-0.0307037657723463,0.192479507366669,0.024248472932385,0.0609398505826257,0.0341680355478704
"115","Chanco",0.397953315672728,0.5,0.0381420058087794,0.196179359341513,1.49271800878098,-0.0327766860192091,0.257333233990707,0.0415285663186094,0.0777562265086544,0.123676212084227
"116","Pelluhue",0.368214430161096,0,0.0775035080834324,0.170585797639497,0.55958002186941,-0.0220872935220679,0.177551734604002,0.00576251503409009,0.0511782564695677,-0.00257359645686389
"117","Curicó",0.0864646770750398,0.428571428571428,0.0752261880039994,-0.0990049920410642,0.208895396053946,0.00218013298440193,0.18184660048139,0.00530406377734996,-0.05049491697615,0.0651766843621047
"118","Hualañé",0.0699079229378448,-0.5,0.243783835376013,0.498066900183817,0.587770370613018,0.0454686222024911,0.445643605028573,0.180310669287044,-0.0236386257058091,0.234990398799362
"119","Licantén",0.485774132073908,1,0.106379513842426,-0.287679690582685,0.202754499535205,-0.161096614036007,-0.118845400753704,0.0225071326659768,0.0180510506275561,0.0788231857340953
"120","Molina",0.329225835310303,0.2,0.132034951492331,-0.131991172383312,0.439730568920652,0.0957254614730428,0.239531015097992,-0.016534084633283,0.055474153217228,0.12939987835635
"121","Rauco",0.810519689464761,0,0.142800467551083,0.367174946574977,0.747903390445969,0.129036516029175,0.775250726642996,0.0324857989613376,0.0618921308576481,0.0401238895184841
"122","Romeral",-0.1019768181286,0.666666666666667,0.0206890187729419,-0.0992264494408257,0.313554773112889,-0.0420394673811074,0.160918186505737,-0.0871432112987458,-0.0101109703869001,0.182787089115653
"123","Sagrada Familia",1.50232301977527,0.2,0.0403866550228271,0.0933014521974513,0.370760835508558,0.0709631698933046,0.198255263014028,0.108522844285801,0.0173932985244917,-0.00298532283253079
"124","Teno",0.275089129418486,-0.666666666666667,0.0597679885067465,-0.075019587507962,0.189563976660823,-0.106689094201542,0.0374930072310392,-0.0293366941330221,-0.0272200617400375,0.068626861538819
"125","Vichuquén",3.83235294117647,1,0.0566269955084422,0.103808627861101,0.474055789457411,-0.314599311851316,-0.139369831493497,-0.0530902680833845,0.00345718980355773,0.115412320197714
"126","Linares",0.0442549628825901,-0.5,0.103451975586789,0.420220168283865,0.258413305811063,-0.00262238838143465,0.124791331091832,0.0944175714682912,-0.00298574126411478,0.164947615576271
"127","Colbún",0.442234030079531,0.5,-0.0271553695936539,-0.0705404419431109,0.49774152427622,0.0571286522960816,0.216828438749952,-0.0731264493403474,-0.0236756119770742,-0.0748129237963181
"128","Longaví",0.0190679774009179,1,-0.00377305271522964,-0.0285489158389766,0.467599090751367,0.0466515182651517,0.374274178589706,0.0944279097945908,-0.0051900941888895,0.0919372113713903
"129","Parral",0.205270079142876,-0.833333333333333,0.0978755306636309,0.1801984980868,0.419792368524405,0.150931352165237,0.26207143848391,0.105340891074529,-0.058321531376893,-0.0174990345691159
"130","Retiro",0.691786407460683,-0.5,0.170903702290551,0.220829215780965,0.463789615338727,0.213382352550531,0.339247104487872,0.212399136796252,0.0218948109884949,0.083812570941118
"131","San Javier",0.00753301552543979,-0.5,0.156886315328179,0.467821993080565,0.110136610683717,-0.0341372862174222,0.114135985181432,-0.0347277226908091,0.00356357282216002,0.0607458637281965
"132","Villa Alegre",0.283226294546334,0.5,0.133272936051007,0.469832221003649,0.333545277984374,-0.114235965372341,-0.108111678581397,0.0436424766961526,-0.0259784591682846,0.0812989241106082
"133","Yerbas Buenas",-0.426429979596169,0,0.261917980746564,0.225147124611117,0.0734660593728811,0.101711154162652,0.180677985104024,0.03805199096734,0.00783707777371946,0.0682864698283085
"134","Concepción",-0.130410217382983,-0.2,0.129385472903495,-0.046300396526142,0.160197732091961,0.0129306001454799,0.115443456959783,0.0202697049211322,-0.0254708609744848,0.0511858847946685
"135","Coronel",0.00211637893749935,-0.2,0.0668502934628449,0.352710999477933,0.0122788346710226,-0.0153197989778358,-0.010571859723181,0.11212247198154,-0.0331699747380017,0.0843675653845169
"136","Chiguayante",-0.000512129292410349,0.666666666666667,0.0528803549501963,0.135213207411233,0.102481108143878,-0.00128098866370337,0.0660242957358389,-0.0307278919229831,-0.0266340479347658,0.111219151352021
"137","Florida",-0.406527137070763,1,0.105477308911782,0.00262413281821764,0.33246145816399,-0.0309351324396468,0.14650727829096,0.00922392340675816,0.0190994613832913,0.0845653649847073
"138","Hualqui",0.287414759589666,-0.666666666666667,0.104463376299359,-0.0354196586612752,0.264795879276318,0.0548540279676352,0.231400252285417,0.203429773955589,-0.003266878544494,0.182338840809651
"139","Lota",0.0827523287553503,1,0.0555299159077579,0.387807717755488,0.115128412256948,0.018033535650584,0.105821190286917,-0.0776595617916809,0.0062030826193855,0.0534386921929144
"140","Penco",0.173420747322114,-0.333333333333333,0.0592516896564449,0.159666943498232,0.065157952165981,-0.0122817427312321,0.0461446788168519,0.0703958946025301,0.026092446052435,0.0996409320385473
"141","San Pedro de la Paz",0.299428934848679,0,0.0842132575328927,0.184976159391695,0.0468014635702531,-0.013550145029175,0.0287636860610877,0.109439712535193,0.0017746688426451,0.0222789023647791
"142","Santa Juana",-0.241435721519337,-0.666666666666667,0.036713662928185,0.26055955433193,0.217667959388154,-0.0484005714990501,0.0972445302189101,-0.0413694220547426,-0.0185190235003119,0.100859087585082
"143","Talcahuano",0.400156994480689,0.5,0.0422842212245075,0.066659021620834,0.118430322560507,-0.00279348006708828,0.0906223239013102,0.00201847233839839,-0.037139288748134,-0.00160844186962644
"144","Tomé",0.765649213873807,0,0.0226397906835569,-0.079278079440228,0.126393523982189,0.160031388759419,0.284587036734813,0.275046905904983,-0.0300901455200405,0.206800517287234
"145","Hualpén",0.595486914212548,2,0.023641421230138,-0.136314563087766,0.108892050555593,0.00235833538801871,0.0796441443187184,0.0104876916852333,0.0118999140532983,0.0236132435616404
"146","Lebu",0.436037545762611,-0.333333333333333,0.108494287964687,1.49762366860631,0.228403376047288,0.00108734378414207,0.213762902614061,0.0765587960478487,0.0183598034038751,0.161865691050058
"147","Arauco",0.113915864217126,6,0.0492444598635857,-0.108610175725596,0.287923252224633,-0.0501600183508957,0.160911265443593,-0.0159755915216909,0.0357663131873701,0.126589263578906
