Mes_A–o;HousingUFm2;LandUFm2;IDSEHousing;m2;Sales;Ageofhousingbuilding;ConstructionCostsIndexCChC;Population;Wages;InterestRate;CopperPrices;IPSA;MoneySupply;LN_housingPrices;Index_HousingUFm2;Index_LandUFm2;Index_IDSEHousing;Index_m2;Index_Sales;Index_Ageofhousingbuilding;Index_ConstructionCostsIndexCChC;Index_Population;Index_Wages;Index_InterestRate;Index_CopperPrices;Index_IPSA;Index_MoneySupply;;;;;;;;;;;;;;;;
201101; 53,5 ; 8,2 ; 0,8 ; 109,6 ; 2.379,0 ; 48,3 ; 4.169,2 ; 5.221.123,0 ; 5,7 ; 4,3 ; 4,3 ; 4.673,1 ; 3.195,2 ; 4,0 ; 0,854 ; 1,041 ; 0,965 ; 1,058 ; 2,026 ; 0,892 ; 1,132 ; 1,021 ; 0,668 ; 0,891 ; 1,113 ; 1,575 ; 1,412 ;;;;;;;;;;;;;;;;
201102; 45,8 ; 8,4 ; 0,8 ; 115,3 ; 1.950,0 ; 48,2 ; 4.205,2 ; 5.224.667,0 ; 5,8 ; 4,4 ; 4,5 ; 4.444,6 ; 3.217,8 ; 3,8 ; 0,728 ; 1,027 ; 0,959 ; 1,118 ; 1,854 ; 0,847 ; 1,139 ; 1,021 ; 0,706 ; 0,893 ; 1,155 ; 1,505 ; 1,423 ;;;;;;;;;;;;;;;;
201103; 44,9 ; 8,7 ; 0,8 ; 86,9 ; 3.629,0 ; 40,8 ; 4.262,0 ; 5.228.210,0 ; 6,3 ; 4,4 ; 4,3 ; 4.624,5 ; 3.174,1 ; 3,8 ; 0,681 ; 1,041 ; 0,961 ; 0,938 ; 2,876 ; 0,745 ; 1,152 ; 1,022 ; 0,760 ; 0,899 ; 1,139 ; 1,525 ; 1,412 ;;;;;;;;;;;;;;;;
201104; 40,7 ; 8,5 ; 0,8 ; 107,8 ; 3.599,0 ; 61,1 ; 4.273,1 ; 5.231.754,0 ; 5,9 ; 4,3 ; 4,3 ; 4.822,5 ; 3.199,8 ; 3,7 ; 0,624 ; 1,029 ; 0,961 ; 1,030 ; 3,164 ; 0,960 ; 1,158 ; 1,023 ; 0,745 ; 0,889 ; 1,131 ; 1,577 ; 1,417 ;;;;;;;;;;;;;;;;
201105; 38,8 ; 8,6 ; 0,8 ; 100,9 ; 4.222,0 ; 49,5 ; 4.306,8 ; 5.235.297,0 ; 5,3 ; 4,2 ; 4,0 ; 4.847,9 ; 3.250,6 ; 3,7 ; 0,587 ; 1,035 ; 0,963 ; 1,009 ; 3,648 ; 0,884 ; 1,166 ; 1,024 ; 0,683 ; 0,865 ; 1,082 ; 1,599 ; 1,435 ;;;;;;;;;;;;;;;;
201106; 38,4 ; 8,7 ; 0,8 ; 104,3 ; 3.660,0 ; 58,2 ; 4.274,7 ; 5.238.841,0 ; 5,8 ; 4,1 ; 4,1 ; 4.795,3 ; 3.289,4 ; 3,6 ; 0,572 ; 1,050 ; 0,965 ; 1,026 ; 3,434 ; 0,966 ; 1,162 ; 1,024 ; 0,706 ; 0,853 ; 1,077 ; 1,593 ; 1,452 ;;;;;;;;;;;;;;;;
201107; 40,8 ; 9,8 ; 0,8 ; 120,5 ; 3.222,0 ; 54,7 ; 4.261,8 ; 5.242.384,0 ; 5,9 ; 4,1 ; 4,4 ; 4.426,0 ; 3.288,1 ; 3,7 ; 0,593 ; 1,146 ; 0,969 ; 1,144 ; 3,090 ; 0,948 ; 1,159 ; 1,025 ; 0,727 ; 0,850 ; 1,123 ; 1,506 ; 1,456 ;;;;;;;;;;;;;;;;
201108; 39,9 ; 9,2 ; 0,8 ; 146,3 ; 4.033,0 ; 58,8 ; 4.221,8 ; 5.245.928,0 ; 6,1 ; 4,2 ; 4,1 ; 4.288,4 ; 3.274,4 ; 3,7 ; 0,589 ; 1,126 ; 0,964 ; 1,359 ; 3,505 ; 0,992 ; 1,150 ; 1,026 ; 0,745 ; 0,854 ; 1,089 ; 1,447 ; 1,454 ;;;;;;;;;;;;;;;;
201109; 39,3 ; 9,2 ; 0,8 ; 120,7 ; 3.975,0 ; 52,9 ; 4.246,0 ; 5.249.471,0 ; 6,0 ; 4,2 ; 3,8 ; 3.888,6 ; 3.394,0 ; 3,7 ; 0,582 ; 1,120 ; 0,963 ; 1,245 ; 3,593 ; 0,935 ; 1,152 ; 1,026 ; 0,744 ; 0,856 ; 1,019 ; 1,337 ; 1,490 ;;;;;;;;;;;;;;;;
201110; 39,6 ; 9,8 ; 0,8 ; 132,0 ; 3.546,0 ; 61,0 ; 4.289,7 ; 5.253.015,0 ; 5,9 ; 4,1 ; 3,3 ; 4.327,3 ; 3.402,2 ; 3,7 ; 0,583 ; 1,167 ; 0,961 ; 1,290 ; 3,345 ; 1,015 ; 1,161 ; 1,027 ; 0,733 ; 0,847 ; 0,917 ; 1,406 ; 1,503 ;;;;;;;;;;;;;;;;
201111; 38,3 ; 9,3 ; 0,8 ; 121,6 ; 3.959,0 ; 65,1 ; 4.329,9 ; 5.256.558,0 ; 6,1 ; 4,2 ; 3,4 ; 4.161,3 ; 3.458,7 ; 3,6 ; 0,570 ; 1,141 ; 0,960 ; 1,231 ; 3,534 ; 1,088 ; 1,171 ; 1,028 ; 0,751 ; 0,851 ; 0,903 ; 1,388 ; 1,525 ;;;;;;;;;;;;;;;;
201112; 46,9 ; 10,4 ; 0,8 ; 113,4 ; 3.982,0 ; 53,9 ; 4.334,7 ; 5.260.102,0 ; 6,3 ; 4,3 ; 3,4 ; 4.177,5 ; 3.646,9 ; 3,8 ; 0,654 ; 1,225 ; 0,962 ; 1,157 ; 3,606 ; 0,976 ; 1,175 ; 1,028 ; 0,776 ; 0,868 ; 0,901 ; 1,386 ; 1,590 ;;;;;;;;;;;;;;;;
