"";"district";"maha";"nlp";"ppl";"cc";"ach";"mdp";"sm";"le";"as";"rs";"we";"ad";"vt";"ac";"lt";"cfo";"mahaR";"z"
"130";"REQUINOA";2,6263384;10,23881628;27968;1;"0.31";"0.45";"0.29709999999999998";9,540122263;335980,6603;0,390204396;0;"0.90459999999999996";0,550967742;0,234911327;34,49175208;78,66132723;6,83634335606488;-0,58261187066096
"131";"RIO BUENO";5,57944693;10,35367105;31372;0;"0.89";"0.89";"0.38929999999999998";14,94774293;1145595,593;0,45832532;0,19253065;"0.76370000000000005";0,514614703;0,09887798;34,34273561;426,9331251;31,449113015732;0,84280507480442
"132";"SALAMANCA";2,5533609;10,28694561;29347;2;"0.41";"0.55000000000000004";"0.20930000000000001";9,881485899;367902,0055;0,42347777;0;"0.91410000000000002";0,512;0,052441476;33,04679153;202,6319556;7,63087569556845;-0,536597550610481
"133";"SAN ANTONIO";3,20553863;11,42245356;91350;5;"0.65";"0.57999999999999996";"0.35909999999999997";11,69756489;481624,2908;0,511169384;0,311947084;"0.89349999999999996";0,531926029;0,081149425;35,55577836;476,8887356;10,9777122692958;-0,342769808675699
"134";"SAN BERNARDO";5,20978881;12,61590487;301313;1;"0.61";"0.71";"0.2107";11,10151864;480308,4361;0,540642299;0,102378802;"0.82569999999999999";0,463252786;0,01127731;34,87531946;169,7781908;29,146719401028;0,709464905497571
"135";"SAN CARLOS";3,0004541;10,87849992;26512;1;"0.28999999999999998";"0.41";"0.57179999999999997";8,55108019;233361,1546;0,362011424;0,557410555;"0.92410000000000003";0,530367836;0,042490193;33,43211581;150,613873;9,14455768495628;-0,448934602167305
"136";"SAN CLEMENTE";2,10450762;10,67519172;43269;0;"0.42";"0.56999999999999995";"0.46110000000000001";9,947224015;341952,4065;0,496773525;0;"0.86890000000000001";0,551879699;0,019482771;31,13236837;227,216714;6,722021664084;-0,589232664632426
"137";"SAN FELIPE";1,83856772;11,24953267;38422;2;"0.28999999999999998";"0.31";"0.34389999999999998";7,866712452;253920,003;0,389590359;0,356827718;"0.89929999999999999";0,516810541;0,115714955;35,134015;985,9253423;10,4647075811046;-0,372479816357163
"138";"SAN FERNANDO";2,56658674;11,21145544;73973;2;"0.49";"0.55000000000000004";"0.56759999999999999";9,622109667;311586,0095;0,410834641;0,313761807;"0.87980000000000003";0,528669471;0,077474214;32,69553401;696,929262;7,94047275063719;-0,518667634771536
"139";"SAN JAVIER";4,08876924;10,72650004;45547;2;"0.34";"0.54";"0.38669999999999999";8,910141941;195918,3821;0,413312981;1;"0.88429999999999997";0,549859551;0,003446989;33,08478159;0;18,2278079508109;0,0771101716587397
"140";"SAN JOAQUIN";2,94120172;11,45627045;94492;1;"0.54";"0.49";"0.26650000000000001";11,39872097;340712,8585;0,513150878;0;"0.86380000000000001";0,501380368;1,06e-05;34,89372723;566,474019;8,77891837199985;-0,470110133398579
"141";"SAN MIGUEL";2,91301659;11,58946049;107954;2;"0.7";"0.61";"0.28849999999999998";12,37661902;501776,6212;0,329687277;0,538514342;"0.78180000000000005";0,494139836;0,067408341;35,86419544;808,6172629;11,2060506836334;-0,329545882656886
"142";"SAN PEDRO DE LA PAZ";3,95066684;11,7891016;131808;2;"0.49";"0.54";"0.13730000000000001";9,999803695;360358,3603;0,229855399;0,656979645;"0.91679999999999995";0,571506451;7,59e-06;37,06715136;378,6218636;16,136114552598;-0,0440275652054124
"143";"SAN RAMON";3,92010912;11,32539034;82900;2;"0.3";"0.45";"0.20050000000000001";8,398860399;496181,8497;0,567544751;0,258264344;"0.87849999999999995";0,518164735;0,001917973;39,88465784;342,49;17,5923000293295;0,0403055465481609
"144";"SAN VICENTE";3,52612834;10,75291172;23383;0;"0.31";"0.53";"0.41699999999999998";8,636213737;299542,6954;0,38450865;0,811401267;"0.84530000000000005";0,55128657;0,175512124;33,076428;661,6929607;13,0810900579442;-0,220955385345351
"145";"SANTA CRUZ";3,67995576;10,54151835;37855;0;"0.19";"0.47";"0.2233";7,368885325;317007,7004;0,392573713;0;"0.84640000000000004";0,514644351;0,159767534;34,66325922;214,6162462;14,5321007594094;-0,136921964055533
"146";"SANTIAGO";5,84619867;12,91039465;134831,6667;13;"0.3";"0.45";"0.29970000000000002";9,11602683;298255,7854;0,190478321;0,379723807;"0.9113";0,441128149;0,853990779;32,51590068;6545,277649;40,0849598472932;1,34293905331894
"147";"TALAGANTE";4,6010002;11,21501796;37118,5;1;"0.31";"0.55000000000000004";"0.45379999999999998";8,186233611;293823,4714;0,349649469;1;"0.98070000000000002";0,561487854;0,034605385;35,79216989;0;23,9717049437889;0,409760589308205
"148";"TALCA";5,18615524;12,30300424;55089,25;11;"0.51";"0.54";"0.40200000000000002";10,48022155;397257,2276;0,252697964;0,187469082;"0.92";0,543305262;0,066487563;33,14979574;1657,763765;30,2352083398217;0,772503344477101
"149";"TALCAHUANO";3,21519516;11,92998312;151749;2;"0.22";"0.23";"0.47199999999999998";8,012231183;308671,6414;0,347485379;0,399764795;"0.93879999999999997";0,494368702;6,59e-06;34,71630094;326,281101;11,1631610043551;-0,332029783350475
"150";"TEMUCO";4,56309261;12,5511329;40345;0;"0.59";"0.52";"0.4108";10,34855965;383531,9198;0,254341278;0,285594884;"0.87070000000000003";0,489427601;0,10458368;33,48222863;1432,962104;23,181641581869;0,364005084355123
"151";"TENO";2,93523534;10,27232325;28921;0;"0.36";"0.32";"0.4415";9,197638828;331224,6565;0,366445009;0;"0.94930000000000003";0,496407186;0,066768092;36,16559422;1587,759794;8,58436170709031;-0,48137763278406
"152";"TOCOPILLA";4,3654365;10,13404356;25186;4;"0.32";"0.18";"0.48780000000000001";9,133828354;400989,017;0,596230295;0,30990218;"0.97009999999999996";0,424494649;0,141507187;30,18808265;1207,218375;20,2409277008972;0,193697416601198
"153";"TOME";4,32056483;10,91410616;54946;1;"0.54";"0.33";"0.4703";10,54340723;479824,9453;0,409115118;0,512901211;"0.78259999999999996";0,522752193;0,054708259;25,26482131;296,2037273;19,3939028617234;0,144643060846721
"154";"VALDIVIA";3,04504894;12,02022488;83040;5;"0.46";"0.4";"0.43659999999999999";10,29885681;367370,3303;0,24725079;0,241061747;"0.79510000000000003";0,526726172;0,118460983;32,7194424;4315,575487;14,4721299996028;-0,140395093591251
"155";"VALLENAR";2,14510901;10,85740157;51917;0;"0.36";"0.33";"0.34429999999999999";9,562230001;391369,722;0,387897957;0,373360155;"0.83609999999999995";0,474947495;0,01985862;35,5296609;543,4325365;10,258467397757;-0,384423951708228
"156";"VALPARAISO";7,07681531;12,60032513;98885;15;"0.28000000000000003";"0.41";"0.40289999999999998";8,973178364;378415,6694;0,346939348;0,189665936;"0.89259999999999995";0,438290079;0,177805869;35,6301242;5530,923795;53,1095111499264;2,09723921500613
"157";"VINA DEL MAR";4,56160918;12,71963851;167124;9;"0.61";"0.52";"0.38579999999999998";11,52947586;398384,9997;0,201896982;0,175295456;"0.85119999999999996";0,487762238;0,001364256;33,3071976;1925,734075;21,3742618581522;0,259333008814673
"158";"VICTORIA";3,41860521;10,43945447;34182;1;"0.48";"0.68";"0.36149999999999999";9,777844604;285355,27;0,4789542;0;"0.89949999999999997";0,471283096;0,380434147;34,33487761;145,3633199;12,6524132719693;-0,24578165086953
"159";"VICUNA";2,37845072;10,23174759;27771;1;"0.56999999999999995";"0.5";"0.2676";10,78193983;384821,5019;0,444652619;0,365563052;"0.9083";0,534246575;0,070217133;33,98900524;1534,841813;6,4155728168377;-0,606980256058475
"160";"VILCUN";3,40476571;10,24533816;9383,666667;0;"0.17";"0.37";"0.35909999999999997";8,69304315;267143,6413;0,523026789;0;"0.88890000000000002";0,51622248;0,215019005;35,43853388;423,7247345;11,9066154005909;-0,288973576786622
"161";"VILLA ALEMANA";3,25306987;11,74837696;63274;3;"0.5";"0.28000000000000003";"0.46779999999999999";10,6129952;316713,8953;0,342842013;0,300460672;"0.95109999999999995";0,510028204;0,019431362;32,23225172;457,6095829;11,0408450236429;-0,339113556287014
"162";"VILLARRICA";3,75662529;10,92374182;27739;1;"0.42";"0.44";"0.1263";10,23961499;428956,2138;0,359216131;0,600530513;"0.85740000000000005";0,455413144;0,121579725;39,84682018;1103,402772;15,2365153251397;-0,0961266991378253
"163";"VITACURA";4,81079959;11,35491401;85384;3;"0.43";"0.72";"0.47710000000000002";9,462174189;429072,6263;0,285886087;0,367623754;"0.89339999999999997";0,674706544;0,166530029;32,58063108;6390,045744;28,4490040074546;0,669057614531807
"164";"YUMBEL";4,39299504;9,961662117;21198;1;"0.73";"0.72";"0.27589999999999998";12,84537382;486749,4461;0,621790586;0;"0.82509999999999994";0,587407904;0,1405793;37,35867916;1078,378762;22,4123426911362;0,319452127083713
