SEMANA	OBS	UFM2_SUELO	UFM2_CASA	UFM2_DEPTO	IPSA	LIQUIDEZ	INFLACION	TI_HIPOTECARIA
201420	36	11.46	25.59	74.43	4.00	1934101.20	23853.31	4.23
201421	39	10.72	24.43	51.12	4.00	1915787.40	23885.56	4.18
201422	37	10.44	24.04	60.74	4.00	1981096.40	23917.84	4.18
201423	33	11.51	24.10	84.75	4.00	1816250.40	23950.17	4.08
201424	32	11.31	26.68	72.18	4.00	1895334.80	23978.08	4.14
201425	35	11.04	26.70	72.97	4.00	1902514.20	23994.84	3.83
201426	28	9.69	25.84	63.07	4.00	1963498.20	24011.62	4.00
201427	45	9.03	24.64	51.56	4.00	1782663.20	24028.41	3.91
201428	32	10.04	24.09	62.04	4.00	1831675.20	24044.24	3.94
201429	22	11.88	25.57	72.52	3.88	1884577.80	24050.64	3.91
201430	24	13.29	24.70	83.00	3.75	1902240.60	24056.07	3.84
201431	37	11.27	26.91	104.95	3.75	1903476.40	24061.50	3.83
201432	25	10.47	25.05	81.70	3.75	1796112.60	24066.93	3.81
201433	27	19.05	26.13	68.62	3.75	1898755.80	24075.47	3.75
201434	38	20.32	25.86	92.06	3.50	1903849.00	24086.33	3.69
201435	37	10.27	26.96	74.77	3.50	1941646.80	24097.20	3.67
201436	39	9.46	25.33	34.56	3.50	1865080.00	24108.07	3.62
201437	40	10.29	25.38	45.75	3.45	2029211.80	24119.98	3.66
201438	13	3.53	25.95	48.92	3.25	1987561.60	24136.67	3.60
201439	26	9.49	25.74	38.53	3.25	2114906.80	24153.55	3.61
201440	30	12.75	21.06	42.69	3.25	1963106.20	24170.44	3.55
201441	28	10.02	26.43	54.58	3.25	1913366.00	24188.10	3.56
201442	24	14.08	23.87	49.47	3.20	1978034.40	24227.08	3.54
201443	27	16.64	24.95	63.91	3.00	1952036.20	24270.72	3.55
201444	27	15.68	30.27	69.32	3.00	1981499.60	24314.42	3.58
201445	26	16.27	27.51	52.02	3.00	1887969.20	24358.21	3.58
201446	31	8.23	25.59	52.03	3.00	1970758.60	24407.55	3.57
201447	23	15.15	25.56	46.77	3.00	1940571.60	24464.28	3.60
201448	44	9.35	27.03	97.54	3.00	2020828.60	24521.15	3.61
201449	23	7.92	27.83	103.00	3.00	1906382.60	24578.14	3.72
201450	31	12.08	24.85	68.82	3.00	2066810.80	24625.47	3.66
201451	19	12.45	27.28	74.54	3.00	2140352.40	24627.10	3.74
201452	17	11.88	31.02	89.50	3.00	2218853.40	24627.10	3.72
201501	10	12.69	30.39	55.91	3.00	2207735.80	24627.10	3.78
201502	42	18.33	27.63	82.12	3.00	2288599.00	24627.10	3.76
201503	59	19.10	27.52	85.73	3.00	2330621.20	24611.18	3.72
201504	48	19.35	26.69	83.08	3.00	2253575.20	24588.92	3.72
201505	44	15.83	27.97	94.53	3.00	2276495.80	24566.68	3.78
201506	41	14.12	29.76	79.81	3.00	2110178.20	24544.45	3.77
201507	41	9.02	30.06	66.46	3.00	2169015.20	24530.34	3.77
201508	48	12.32	30.37	90.46	3.00	2159299.40	24536.47	3.74
201509	41	11.92	29.13	77.57	3.00	2222462.00	24542.60	3.74
201510	65	19.82	27.50	66.05	3.00	2124720.00	24548.74	3.70
201511	29	15.06	29.22	57.25	3.00	2141389.40	24559.44	3.71
201512	48	9.78	27.39	69.59	3.00	2133404.80	24581.59	3.66
201513	26	11.42	29.98	111.12	3.00	2157447.60	24603.76	3.70
201514	31	8.86	40.35	80.75	3.00	2186767.80	24625.95	3.68
201515	38	20.35	29.26	53.29	3.00	2160152.20	24648.51	3.62
